"filename", "language", "Docker", "JSON", "YAML", "Markdown", "Skill", "HTML", "Ignore", "Python", "PowerShell", "Shell Script", "comment", "blank", "total"
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260427_button_kind_regression_fix_SUMMARY.md", "Markdown", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 38, 177
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260427_localization_script_update_plan.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 13, 55
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260427_platform_entity_url_resolver.md", "Markdown", 0, 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 111, 490
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260428_refactor_platform_entity_url.md", "Markdown", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 31, 159
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260510_file_reference_rename.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 48, 152
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260626-initial-setup-plan.md", "Markdown", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 19, 113
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\cmw-platform-skill-collection-plan.md", "Markdown", 0, 0, 0, 568, 0, 0, 0, 0, 0, 0, 0, 203, 771
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\gradio-text-paste-support.md", "Markdown", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 27, 90
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\markitdown-support.md", "Markdown", 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 75, 298
"c:\C_C++_C#\Vacancies\Nornickel-hack\AGENTS.md", "Markdown", 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 106, 440
